City1,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
ALBURY,SYDNEY,30682,11478,296,79.8,452,5188056,6501323,14383,1984,1
ALBURY,SYDNEY,30713,9590,276,68.2,452,4334680,6355836,14062,1984,2
ALBURY,SYDNEY,30742,10462,294,70.5,452,4728824,6707552,14840,1984,3
ALBURY,SYDNEY,30773,9366,243,77.2,452,4233432,5483720,12132,1984,4
ALBURY,SYDNEY,30803,10110,245,76.9,452,4569720,5942419,13147,1984,5
ALBURY,SYDNEY,30834,9241,246,72.1,452,4176932,5793248,12817,1984,6
ALBURY,SYDNEY,30864,8375,184,79.1,452,3785500,4785714,10588,1984,7
ALBURY,SYDNEY,30895,9686,193,84.8,452,4378072,5162821,11422,1984,8
ALBURY,SYDNEY,30926,9464,191,84.8,452,4277728,5044491,11160,1984,9
ALBURY,SYDNEY,30956,9610,185,84.3,452,4343720,5152693,11400,1984,10
ALBURY,SYDNEY,30987,10320,189,78.7,452,4664640,5927116,13113,1984,11
ALBURY,SYDNEY,31017,10929,192,81.4,452,4939908,6068683,13426,1984,12
ALBURY,SYDNEY,31048,11133,191,83.9,452,5032116,5997754,13269,1985,1
ALBURY,SYDNEY,31079,9954,173,81.8,452,4499208,5500254,12169,1985,2
ALBURY,SYDNEY,31107,11701,194,86.3,452,5288852,6128450,13559,1985,3
ALBURY,SYDNEY,31138,11251,192,84.2,452,5085452,6039729,13362,1985,4
ALBURY,SYDNEY,31168,12049,214,82.8,452,5446148,6577473,14552,1985,5
ALBURY,SYDNEY,31199,11515,218,79.2,452,5204780,6571692,14539,1985,6
ALBURY,SYDNEY,31229,9652,192,77,452,4362704,5665849,12535,1985,7
ALBURY,SYDNEY,31260,13684,271,82.2,452,6185168,7524535,16647,1985,8
ALBURY,SYDNEY,31291,14121,327,76.3,452,6382692,8365258,18507,1985,9
ALBURY,SYDNEY,31321,14791,364,74.5,452,6685532,8973868,19854,1985,10
ALBURY,SYDNEY,31352,12973,314,75.8,452,5863796,7735879,17115,1985,11
ALBURY,SYDNEY,31382,14616,362,72.1,452,6606432,9162874,20272,1985,12
ALBURY,SYDNEY,31413,15558,354,78.1,452,7032216,9004118,19921,1986,1
ALBURY,SYDNEY,31444,12408,310,72.1,452,5608416,7778663,17209,1986,2
ALBURY,SYDNEY,31472,14369,326,75.7,452,6494788,8579641,18982,1986,3
ALBURY,SYDNEY,31503,13677,312,75.9,452,6182004,8144933,18020,1986,4
ALBURY,SYDNEY,31533,12980,274,78.6,452,5866960,7464326,16514,1986,5
ALBURY,SYDNEY,31564,11788,273,72.6,452,5328176,7339085,16237,1986,6
ALBURY,SYDNEY,31594,12543,268,77.2,452,5669436,7343829,16247,1986,7
ALBURY,SYDNEY,31625,14595,292,82.6,452,6596940,7986610,17669,1986,8
ALBURY,SYDNEY,31656,13713,273,82.8,452,6198276,7485841,16562,1986,9
ALBURY,SYDNEY,31686,13876,300,77.5,452,6271952,8092841,17905,1986,10
ALBURY,SYDNEY,31717,11773,289,67.5,452,5321396,7883550,17441,1986,11
ALBURY,SYDNEY,31747,11685,274,68.5,452,5281620,7710394,17058,1986,12
ALBURY,SYDNEY,31778,11707,259,73.6,452,5291564,7189625,15906,1987,1
ALBURY,SYDNEY,31809,10418,248,68.6,452,4708936,6864338,15187,1987,2
ALBURY,SYDNEY,31837,13127,287,74.5,452,5933404,7964301,17620,1987,3
