	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
China	2599	5912	12210	25104	44733	62733	75564	91412	114763	145104
Brazil	237	247	339	606	932	1509	2508	3466	5939	8715
Sweden	571	831	1067	1560	2163	2970	3745	4382	5425	6025
Poland	153	276	472	725	1107	1616	2497	3390	3834	5100
Portugal	1716	2130	2862	3535	3702	4083	4525	4730	4914	5079
Denmark	3140	3129	3164	3465	3752	3871	4162	4807	4845	5063
Turkey	65	207	433	801	1329	1799	2312	2958	3763	4718
Australia	651	824	1306	1712	1991	2176	2584	3239	3806	4187
Netherlands	1571	1759	2237	2223	2237	2328	2391	2671	2805	3431
Mexico	84	85	85	520	733	873	1370	1859	2551	3073
Japan	1309	1528	1880	2056	2304	2501	2614	2669	2789	3038
United States	11603	16819	25170	35159	40200	46919	60007	61110	65879	74472
Romania	2	7	10	14.1	462	982	1905	2599	2953	2976
Ireland	746	805	1245	1260	1.379	1614	1738	2049	2272	2486
Austria	965	982	995	995	1011	1084	1378	1684	2095	2412
Belgium	194	287	384	563	911	1078	1375	1651	1959	2229
Greece	758	873	990	1087	1208	1629	1749	1866	1980	2152
South Africa	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	570	1053
Finland	86	110	143	147	197	199	288	447	627	1005
Chile	NaN	NaN	NaN	20	168	172	205	331	836	933
Uruguay	NaN	NaN	NaN	NaN	NaN	43	56	59	701	845
Norway	325	333	428	431	441	512	704	811	819	838
Germany	20622	22247	23903	25777	27214	29060	31332	34250	39165	44947
South Korea	176	192	278	348	379	407	483	561	609	835
Morocco	64	125	125	253	286	291	291	487	787	787
Bulgaria	36	70	120	177	500	612	674	681	691	691
Taiwan	188	280	358	436	519	564	564	614	633	647
Zealand New Zealand	171	322	325	497	530	623	623	623	623	623
Egypt	230	310	390	430	550	550	550	550	610	610
Ukraine	86	89	90	94	87	151	302	371	498	NaN
Lithuania	56	50	54	91	163	203	263	279	279	424
Croatia	NaN	NaN	69.4	104	152	187.4	207.1	302	347	423
Hungary	61	65	127	201	295	329	329	329	329	329
India	6270	7850	9587	10925	13064	16084	18421	20150	22465	25088
Ethiopia	NaN	NaN	NaN	NaN	NaN	23	81	171	171	324
Estonia	31.8	59	78	142	149	184	269	280	302	303
Czech Republic	57	116	150	192	215	217	260	269	282	282
Argentina	NaN	NaN	NaN	NaN	NaN	113	167	218	271	279
Panama	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35	270
Costa Rica	NaN	NaN	74	123	119	132	147	148	198	268
Pakistan	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	255
Tunisia	NaN	NaN	NaN	NaN	NaN	54	104	245	245	245
Thailand	NaN	NaN	NaN	NaN	NaN	7	112	223	223	223
Philippines	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66	216	216
Spain	11630	15145	16740	19149	20676	21674	22796	22959	22987	23025
Nicaragua	NaN	NaN	NaN	NaN	NaN	62	102	146	186	NaN
Cyprus	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	147	158
Honduras	NaN	NaN	NaN	NaN	NaN	NaN	102	102	126	176
Peru	NaN	NaN	NaN	NaN	NaN	NaN	NaN	146	148	148
Jordan	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	119
Iran	47	67	82	91	91	91	91	91	NaN	NaN
Sri Lanka	NaN	NaN	NaN	NaN	NaN	NaN	63	63	NaN	NaN
Latvia	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62	62
Luxembourg	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58	58
Mongolia	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50	NaN	NaN
United Kingdom	1963	2389	3288	4070	5203	6540	8445	10711	12440	13603
Venezuela	NaN	NaN	NaN	NaN	NaN	NaN	30	NaN	NaN	NaN
Cape Verde	NaN	NaN	NaN	NaN	NaN	24	24	24	24	NaN
Canada	1460	1846	2369	3319	4008	5265	6200	7823	9694	11205
France	1589	2477	3426	4410	5660	6800	7196	8243	9285	10358
Italy	2123	2726	3537	4850	5797	6747	8144	8558	8663	8958
